,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01
2035,15.0,14.0,10.0,11.0,14.0,16.0,12.0,14.0,14.0,15.0,15.0,15.0,14.0,17.0,17.0,14.0,14.0,14.0,15.0,14.0,13.0,13.0,15.0,13.0,13.0,33.0,29.0,23.0,26.0,33.0,30.0,50.0,37.0,25.0,32.0,29.0,22.0,18.0,17.0,16.0,19.0,15.0,28.0,22.0,22.0,18.0,15.0,16.0,15.0,17.0,19.0,16.0,18.0,14.0,14.0,15.0,15.0,13.0,14.0,16.0,14.0,38.0,27.0,35.0,54.0,100.0,50.0,37.0,31.0,33.0,46.0,39.0,33.0,32.0,36.0,28.0,22.0,21.0,19.0,20.0,19.0,15.0,16.0,14.0,16.0,15.0,14.0,13.0,13.0,11.0,12.0,12.0,14.0,13.0,12.0
2036,100.0,97.0,75.0,94.0,87.0,71.0,63.0,92.0,72.0,62.0,77.0,49.0,54.0,42.0,44.0,46.0,38.0,41.0,42.0,58.0,63.0,100.0,83.0,63.0,48.0,53.0,46.0,55.0,39.0,54.0,45.0,34.0,29.0,31.0,40.0,32.0,29.0,25.0,31.0,32.0,42.0,21.0,20.0,33.0,30.0,38.0,80.0,73.0,43.0,36.0,27.0,26.0,25.0,21.0,36.0,23.0,23.0,30.0,30.0,14.0,13.0,14.0,18.0,21.0,19.0,14.0,16.0,14.0,14.0,14.0,23.0,36.0,20.0,23.0,31.0,18.0,22.0,12.0,17.0,17.0,12.0,25.0,17.0,16.0,8.0,10.0,9.0,11.0,8.0,13.0,7.0,7.0,8.0,13.0,11.0
2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,50.0,22.0,21.0,7.0,13.0,18.0,20.0,12.0,11.0,19.0,10.0,15.0,20.0,27.0,36.0,25.0,36.0,27.0,18.0,17.0,10.0,96.0,51.0,46.0,37.0,61.0,28.0,35.0,39.0,23.0,18.0,31.0,34.0,29.0,27.0,43.0,15.0,35.0,28.0,24.0,36.0,31.0,44.0,100.0,62.0,71.0,23.0,50.0,43.0,30.0,34.0,32.0,28.0,34.0,27.0,38.0,31.0,20.0,26.0,28.0,24.0,17.0,22.0,21.0,11.0,10.0,22.0,25.0
2040,32.0,15.0,26.0,24.0,25.0,42.0,70.0,60.0,61.0,56.0,42.0,37.0,35.0,37.0,25.0,31.0,21.0,34.0,13.0,21.0,16.0,25.0,79.0,89.0,38.0,17.0,26.0,40.0,33.0,32.0,40.0,40.0,35.0,24.0,32.0,31.0,26.0,28.0,29.0,27.0,51.0,100.0,42.0,68.0,51.0,52.0,39.0,32.0,34.0,28.0,30.0,39.0,54.0,54.0,59.0,32.0,35.0,29.0,33.0,31.0,47.0,40.0,69.0,85.0,80.0,54.0,26.0,22.0,27.0,24.0,41.0,40.0,27.0,31.0,21.0,28.0,14.0,17.0,20.0,22.0,19.0,26.0,21.0,18.0,18.0,11.0,16.0,23.0,11.0,10.0,10.0,11.0,13.0,5.0,7.0
2041,35.0,32.0,19.0,41.0,25.0,41.0,30.0,29.0,30.0,19.0,20.0,29.0,20.0,16.0,11.0,21.0,13.0,11.0,17.0,11.0,18.0,15.0,14.0,23.0,17.0,9.0,16.0,16.0,9.0,10.0,14.0,13.0,23.0,47.0,42.0,40.0,45.0,35.0,35.0,32.0,37.0,34.0,29.0,23.0,20.0,26.0,49.0,44.0,26.0,23.0,46.0,42.0,23.0,17.0,22.0,14.0,14.0,17.0,26.0,32.0,33.0,29.0,17.0,14.0,16.0,25.0,28.0,25.0,32.0,78.0,100.0,56.0,60.0,65.0,51.0,77.0,58.0,43.0,43.0,47.0,44.0,68.0,65.0,76.0,49.0,37.0,39.0,40.0,39.0,34.0,32.0,51.0,32.0,40.0,50.0
2043,16.0,15.0,23.0,15.0,15.0,12.0,0.0,19.0,24.0,12.0,13.0,17.0,17.0,14.0,60.0,58.0,12.0,14.0,10.0,15.0,11.0,6.0,9.0,9.0,11.0,5.0,7.0,5.0,5.0,5.0,8.0,8.0,6.0,16.0,0.0,5.0,5.0,5.0,11.0,14.0,15.0,100.0,47.0,33.0,22.0,20.0,17.0,23.0,21.0,11.0,18.0,20.0,17.0,12.0,11.0,5.0,7.0,8.0,9.0,8.0,7.0,17.0,39.0,70.0,31.0,20.0,23.0,14.0,10.0,18.0,14.0,17.0,24.0,12.0,20.0,13.0,17.0,15.0,10.0,6.0,4.0,6.0,4.0,12.0,14.0,4.0,14.0,25.0,28.0,49.0,25.0,20.0,63.0,29.0,26.0
2044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,100.0,0.0,96.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,81.0,0.0,0.0,0.0,78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0
2045,34.0,31.0,35.0,32.0,34.0,31.0,30.0,34.0,28.0,26.0,22.0,19.0,17.0,17.0,17.0,14.0,13.0,16.0,12.0,14.0,13.0,10.0,18.0,22.0,50.0,41.0,36.0,39.0,37.0,29.0,29.0,34.0,40.0,35.0,47.0,28.0,26.0,32.0,37.0,24.0,22.0,21.0,23.0,18.0,18.0,16.0,23.0,15.0,14.0,14.0,16.0,12.0,13.0,13.0,15.0,12.0,11.0,16.0,16.0,26.0,42.0,29.0,21.0,20.0,20.0,22.0,27.0,26.0,20.0,16.0,13.0,16.0,14.0,35.0,21.0,25.0,16.0,100.0,43.0,27.0,22.0,31.0,19.0,15.0,18.0,16.0,38.0,16.0,24.0,13.0,12.0,19.0,14.0,8.0,11.0
2046,0.0,0.0,6.0,0.0,6.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,4.0,0.0,0.0,0.0,8.0,8.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,4.0,0.0,5.0,4.0,5.0,17.0,15.0,63.0,100.0,44.0,35.0,19.0,11.0,13.0,9.0,11.0,8.0,5.0,9.0,9.0,4.0,10.0,7.0,7.0,5.0,5.0,10.0,4.0,5.0,5.0,10.0,3.0,6.0,6.0,6.0,3.0,3.0,0.0,6.0,0.0,5.0,6.0,3.0,3.0,5.0,3.0,3.0,7.0
2049,52.0,19.0,30.0,18.0,20.0,55.0,25.0,43.0,27.0,27.0,33.0,17.0,34.0,23.0,22.0,0.0,20.0,15.0,0.0,15.0,15.0,14.0,21.0,42.0,43.0,32.0,24.0,25.0,27.0,18.0,15.0,15.0,44.0,27.0,35.0,23.0,13.0,25.0,27.0,16.0,25.0,16.0,25.0,12.0,18.0,56.0,17.0,23.0,12.0,36.0,17.0,12.0,36.0,24.0,12.0,21.0,45.0,100.0,28.0,16.0,35.0,19.0,12.0,21.0,11.0,19.0,18.0,12.0,15.0,12.0,16.0,15.0,22.0,10.0,34.0,30.0,21.0,10.0,21.0,10.0,14.0,0.0,10.0,21.0,11.0,20.0,16.0,10.0,16.0,10.0,31.0,15.0,10.0,0.0,9.0
