,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
834,2vI9KFm0fwSfPrpEgOeIbq,Brad Mehldau,2013-04-10T20:57:14Z,1999-09-28,5.0,111771,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'jazz', 'jazz fusion', 'jazz piano', 'swedish jazz', 'vocal jazz']",58
835,2vJObElaIZWYDLpiXiJMo9,Cornelius,2013-10-07T16:16:15Z,2002-01-01,2.0,74891,['shibuya-kei'],46
836,2vObsQCPsbVfkqHlQOu2zc,Nico Muhly,2012-06-14T06:42:52Z,2009-11-02,0.0,23587,"['21st century classical', 'american 21st century classical', 'compositional ambient']",51
837,2w2KeI4G39Cn8m24ZpgIJW,Sevendeaths,2017-08-03T21:21:27Z,2017-02-24,160.0,898,['uk experimental electronic'],8
838,2wPDbhaGXCqROrVmwDdCrK,Oneohtrix Point Never,2016-06-01T18:25:00Z,2013-09-30,201.0,101710,"['ambient', 'art pop', 'bass music', 'chamber pop', 'chamber psych', 'chillwave', 'compositional ambient', 'dream pop', 'drone', 'electronica', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'fluxwork', 'fourth world', 'freak folk', 'hauntology', 'indietronica', 'intelligent dance music', 'microhouse', 'noise pop', 'outsider house', 'post-rock', 'vaporwave', 'wonky']",53
839,2wWBoQpcybsDVpouFubTqZ,Kris Bowers,2017-01-05T21:57:21Z,2014-01-01,1100.0,5478,[],43
840,2wouN3QXejYa5tKetYdcVX,Com Truise,2013-06-15T19:35:42Z,2011-06-28,1.0,168689,"['chillwave', 'future funk', 'indietronica', 'vaporwave', 'wonky']",56
841,2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,2014-11-17T04:53:17Z,1980-10-08,12458.0,1080217,"['art rock', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",73
842,2xU4ZHBcDYVsdruUndKbw1,The Curtains,2017-01-05T23:03:08Z,2006-10-24,3726.0,615,[],10
843,2yDN6MgOm6D8ZMNqCkJ3XJ,Wovoka Gentle,2016-09-26T16:47:36Z,2016-08-08,49.0,3880,[],41
844,2yDodJUwXfdHzg4crwslUp,Allah-Las,2012-10-30T06:12:20Z,2012-09-18,42.0,164229,"['freak folk', 'garage rock', 'indie garage rock', 'indie surf', 'neo-psychedelic', 'noise pop']",61
845,2z18t1v0xbF5ehh25MMfPV,The JuJu Exchange,2017-11-17T01:41:09Z,2017-04-21,84.0,4223,['jazztronica'],32
846,2z78AlkdwE2Ghj9EB50M6z,Liars,2017-09-21T18:43:00Z,2017-06-29,84.0,57414,"['dance-punk', 'experimental rock', 'freak folk', 'garage psych', 'noise pop', 'noise rock', 'nu gaze', 'post-hardcore']",41
847,2zAvisjImPICTNsRgagqlV,"Bonnie ""Prince"" Billy",2019-06-21T22:11:35Z,2019-06-21,0.0,63882,"['alternative country', 'alternative rock', 'anti-folk', 'chamber pop', 'folk', 'folk-pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'melancholia', 'new americana', 'roots rock', 'singer-songwriter', 'slow core', 'stomp and holler']",53
848,2zDVZ8uHDGn946baAVssjq,Jacques Arcadelt,2012-10-30T06:14:35Z,1984,10530.0,422,['franco-flemish school'],24
849,2ziB7fzrXBoh1HUPS6sVFn,Audioslave,2013-03-05T10:52:16Z,2006-08-29,2380.0,2442111,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock']",73
850,302l4hTP8dV5GWHpEyHVP8,Dafnis Prieto,2013-10-18T23:25:58Z,2008-01-01,2117.0,2362,['jazz cubano'],15
