,Artist ID,Followers,Genres,Artist Popularity
86,6ra4GIOgCZQZMOaUECftGN,465609,"['album rock', 'art rock', 'classic rock', 'comic', 'experimental', 'experimental rock', 'hard rock', 'instrumental rock', 'jazz fusion', 'progressive rock', 'protopunk', 'psychedelic rock', 'rock', 'symphonic rock', 'zolo']",63
87,2gY0sujlCBr99XUPesswYC,296,[],11
88,1JyLSGXC3aWzjY6ZdxvIXh,47430,"['instrumental funk', 'modern funk']",47
89,0kbYTNQb4Pb1rPbbaF0pT4,1667533,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz trumpet']",68
90,5JLqvjW3Nyom2OsRUyFsS9,63279,"['anti-folk', 'art pop', 'bay area indie', 'chamber pop', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'freak folk', 'grave wave', 'indie rock', 'lo-fi', 'noise pop', 'noise rock', 'slow core']",46
91,79S80ZWgVhIPMCHuvl6SkA,141869,"['alternative rock', 'art pop', 'art rock', 'chamber pop', 'dark jazz', 'dream pop', 'experimental', 'experimental rock', 'freak folk', 'industrial', 'industrial rock', 'no wave', 'noise pop', 'noise rock', 'post-punk', 'post-rock', 'slow core']",55
92,3YkLeI16LhOod2Aa5fwawX,3,[],0
93,4596e2d3KmYzAeVenjCxfj,38159,"['alternative r&b', 'indie soul']",62
94,7Bh3Lcyq8hgu12JLljVNQ1,274,[],10
95,18Q7WIzhegYavOQpEHURUB,1450,[],26
96,46auOkH1pk28rWrSoUNhLo,40547,[],56
97,2rDxtYUzTAYJJE3Bl3Z5IN,45276,"['alternative country', 'alternative rock', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie rock', 'lo-fi', 'new americana', 'roots rock', 'singer-songwriter', 'slow core', 'stomp and holler']",49
98,0srVTNI2U8J7vytCTprEk4,4212,['australian garage punk'],37
99,17hR0sYHpx7VYTMRfFUOmY,245470,"['classical', 'early modern classical', 'post-romantic era']",62
100,0yLmsf6RBPYqm6hvFJCPg6,42881,"['alternative r&b', 'indie jazz', 'indie soul', 'neo r&b', 'wonky']",49
101,0TAPEEcG2NQAfSKkreQWAM,2279,['arab groove'],24
102,1LDP13QECfsKooq6Jt7anT,44,[],2
103,65XA3lk0aG9XejO8y37jjD,131116,"['electropop', 'folk-pop', 'indie pop', 'la indie', 'lilith']",53
104,4XquDVA8pkg5Lx91No1JxB,59083,['neo soul'],61
105,336vr2M3Va0FjyvB55lJEd,789305,"['alternative r&b', 'funk', 'hip hop', 'indie soul', 'neo soul', 'r&b', 'soul', 'urban contemporary']",67
106,3LEGPWdr7sarYtf2u0ETWN,4412,"['ambient techno', 'bass music', 'dub techno', 'float house', 'fluxwork', 'fourth world', 'microhouse', 'minimal techno', 'outsider house']",39
107,4CvTDPKA6W06DRfBnZKrau,467673,"['art pop', 'chamber pop', 'electronica', 'indie rock', 'new rave', 'oxford indie']",66
108,4LEiUm1SRbFMgfqnQTwUbQ,2472746,"['eau claire indie', 'folk-pop', 'indie folk', 'melancholia', 'slow core']",79
109,02nqs3YdfX7Th3gYTYFrqc,3044,[],41
110,5bUop96cOZbPDuv50X4JpV,159,['denton tx indie'],5
111,5gspAQIAH8nJUrMYgXjCJ2,334790,"['alternative rock', 'chamber pop', 'folk-pop', 'freak folk', 'indie folk', 'indie rock', 'noise pop', 'philly indie', 'singer-songwriter', 'stomp and holler']",64
112,1Njrx1AMU4ymWHjfSlwLpE,9249,"['balfolk', 'finnish folk', 'folkmusik', 'nordic folk', 'norwegian folk', 'nyckelharpa']",38
113,7HGFXtBhRq3g1Ma3nH4Rgv,101733,"['afrobeat', 'afropop', 'ethio-jazz', 'funk', 'world']",55
114,5xQiWBPNCV6JnnC7emnEnn,3098,[],10
115,4lxYjU4q6B1KoDJOvNXzQy,7104,['disco'],44
116,172WdsNGJYNNXVNQ1tXfrB,14538,['afro psych'],36
117,2Wt6Q6ZHygCPVtMO3uxLGB,5294,"['latin afrobeat', 'latintronica']",36
118,5wu05jGsVMAFHYMYHqCB9l,102667,"['contemporary jazz', 'contemporary post-bop', 'israeli jazz', 'jazz double bass', 'jazz fusion', 'jazz trumpet']",50
119,2V4R46RCXqmCAdDbJpYec4,6,[],1
120,3PhoLpVuITZKcymswpck5b,3998947,"['glam rock', 'mellow gold', 'piano rock', 'rock']",85
121,1kMPdZQVdUhMDKDWOJM5iK,40160,"['australian hip hop', 'escape room']",56
122,6NL31G53xThQXkFs7lDpL5,127858,"['alternative hip hop', 'alternative r&b', 'escape room', 'hip hop', 'nc hip hop', 'southern hip hop', 'trap queen', 'underground hip hop']",63
123,1oMiDFyAgmIzw9ZBQYHOJI,36619,['musica canaria'],75
124,0JA9lPlwRqMIx21WTi9pOj,2297,[],19
125,3wcj11K77LjEY1PkEazffa,257450,"['afro dancehall', 'dancehall', 'nigerian hip hop', 'nigerian pop']",82
126,1Q3vyHmUHwacqnLGstlLMS,1229,[],21
127,3vDpQbGnzRbRVirXlfQagB,331494,"['alternative americana', 'nashville singer-songwriter', 'new americana', 'outlaw country', 'roots rock']",69
128,1VFYpTpgmp7ANXqok2dTg3,27387,"['dark jazz', 'drone metal', 'experimental', 'noise rock', 'post-doom metal', 'post-metal', 'rhode island indie', 'sludge metal', 'stoner metal']",40
129,1CS1JV6wZUIf5hbsWoiH1M,17129,"['contemporary jazz', 'contemporary post-bop', 'progressive jazz fusion']",33
130,31afRYIn9iqXKgCgHhpf9q,134,['spiritual jazz'],3
131,3jZ33Dh8zdoNOso5TUmPMt,305,[],15
132,0gaASCUAMqvXxGFDYaNFca,6391,['contemporary jazz'],27
133,2hGh5VOeeqimQFxqXvfCUf,1025235,"['bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'jazz', 'jazz saxophone']",68
134,48C2RLG6w7o4jAJjCJKZM8,82372,"['bass music', 'electronica', 'future garage', 'indie jazz', 'indietronica', 'intelligent dance music', 'microhouse', 'ninja', 'wonky']",48
135,375zxMmh2cSgUzFFnva0O7,145185,"['bebop', 'classical trumpet', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz trumpet', 'new orleans jazz', 'vocal jazz']",58
136,3SONlwqLIP2GtaMh9pLYe5,52241,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'jazz', 'jazz fusion', 'jazz guitar']",51
137,7zcXUc2JyOmByvlz0dlWwL,625,[],26
138,7CWrm7kxvObeSGXQY1eQpI,17,[],0
139,31VtnDtYmFnnDFmkxSoEbm,34,[],0
140,6jeroC7T0j4Dvz9y3gtofR,72270,['san diego indie'],40
141,6LEeAFiJF8OuPx747e1wxR,416754,"['alternative r&b', 'art pop', 'chillwave', 'electropop', 'escape room', 'indie r&b', 'indie soul', 'indietronica', 'metropopolis']",70
142,5eitAUlYmlha3LLWg7aBn5,29170,"['art pop', 'chamber psych', 'electra', 'electronica', 'fluxwork', 'microhouse']",41
143,603m5bq6ddB4hsohhwKNGP,1527,['uk alternative pop'],25
144,2YoetJvh9A5KBeDhe3ixPC,27,[],0
145,3u1ulLq00Y3bfmq9FfjsPu,208499,"['alternative rock', 'comic', 'lo-fi']",62
146,0du5cEVh5yTK9QJze8zA0C,22975404,"['pop', 'post-teen pop']",90
147,5NGO30tJxFlKixkPSgXcFE,3119128,"['album rock', 'art rock', 'classic rock', 'dance rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",79
148,1WqaSsmTsEnuOxAwkoe2L8,15,[],8
149,2IYl0pVatTl6O2d1CQj6GQ,49717,['persian pop'],45
150,2IQIEHvL14Tj7vOKHbIMMj,6738,"['deep groove house', 'house']",55
151,4IZnroENCS5ldIgs9Uedl3,78,[],1
152,5sHn9ENA6XtnLmOrVQt2BB,13389,"['indie soul', 'vapor soul', 'vapor twitch']",46
153,5PB4q8DMiGL17Jdo4k6TOy,14109,['alternative hip hop'],44
154,6eXZu6O7nAUA5z6vLV8NKI,196476,"['alternative r&b', 'escape room', 'indie r&b', 'trap queen', 'uk alternative hip hop']",64
155,39vtb2iiz3079nqfL5nfFc,18659,"['alternative hip hop', 'escape room']",47
156,2RdnkH5txHb9c4vGwq0I31,30774,"['alternative hip hop', 'alternative r&b', 'indie jazz', 'indie soul', 'neo r&b', 'neo soul']",44
157,72ktMty33X1LsIzHdRr0U5,16826,"['jazz funk', 'smooth jazz']",37
158,2TSuAchdgVzsAa9wDK1IeT,43135,"['contemporary jazz', 'contemporary post-bop', 'jazz fusion', 'jazz guitar']",46
159,5OSxNS2UGq8dW38T57o78l,3326,['jazz vibraphone'],32
160,10GT4yz8c6xjjnPGtGPI1l,34146,"['deep house', 'indie soul', 'new french touch', 'nu disco']",59
161,4gHcu2JoaXJ0mV4aNPCd7N,44211,"['dutch pop', 'indie soul']",69
162,0x3sTIYnP56TnL6bbyMU2i,17118,"['chamber psych', 'scottish indie']",41
163,3I3Fz1DeUY0icXFvOjbXm7,79581,"['australian garage punk', 'australian hip hop', 'australian indie', 'australian indie rock', 'australian pop']",56
164,3xbmS6qcRWTyILBoaqAPT4,26492,"['electropop', 'indietronica', 'vapor soul']",48
165,5JpFdmGP5YVR80hwTyjhW0,7352,[],30
166,0fqE57gXXTTqxXlFYVNG2u,32146,"['anti-folk', 'chamber pop', 'chamber psych', 'etherpop', 'folk-pop', 'freak folk', 'indie folk']",46
167,5FuLdmLZ9jQuymKPXF2X1S,207,[],3
168,3lmR0qMiGuoIF9UC54egcG,87372,"['ambient folk', 'art pop', 'chamber pop', 'chamber psych', 'dunedin indie', 'folk-pop', 'indie folk', 'indie rock', 'nz folk', 'nz pop', 'nz singer-songwriter', 'singer-songwriter']",61
169,3HQyFCFFfJO3KKBlUfZsyW,121735,"['disney', 'movie tunes', 'singer-songwriter']",68
170,2PMTcjPjWi1ENYvJDiY7GI,231,[],13
171,0hrb5WRiNlj8vh3WnCgXFq,82401,"['freak folk', 'instrumental stoner rock', 'japanese psychedelic', 'neo-psychedelic']",52
172,3oDbviiivRWhXwIE8hxkVV,2246959,"['baroque pop', 'brill building pop', 'folk rock', 'psychedelic rock', 'rock', 'sunshine pop']",77
173,5dTYaRzOn4rXGBLH052EeQ,217307,"['acoustic pop', 'folk-pop', 'lilith', 'neo mellow']",52
174,4chuPfKtATDZvbRLExsTp2,57540,"['british folk', 'folk', 'freak folk', 'new weird america', 'psychedelic folk', 'singer-songwriter', 'traditional folk']",50
175,2aNAAza1OIE1qrfLBlhLaV,2432,['tzadik'],17
176,1dq0QxwBna7jlk8S4rrnV7,1147,[],19
177,4Pkctlav9qaelQV13GyArN,1435,[],15
