,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery
2922,Talking Heads,Born Under Punches (The Heat Goes On) - 2005 Remaster,57,2014-11-17T04:53:17Z,1980-10-08,2x9SpqnPi8rlE9pjHBwmSC,4eBCTzBsSjYgrLH5clQf2x,12458 days 04:53:17.000000000,12458.0
2923,Black Milk,Interpret Sabotage (feat. Mel),0,2014-10-30T03:44:56Z,2013-10-15,77zgRkcehIGCAtROXkXkb3,6GfPDHFsbZYos5tHQlOFw9,380 days 03:44:56.000000000,380.0
2924,Azealia Banks,Gimme A Chance,0,2014-11-20T08:14:43Z,2014-11-06,7gRhy3MIPHQo5CXYfWaw9I,4M7bqyDoMLCdgdXgOINYeX,14 days 08:14:43.000000000,14.0
2925,Frank Zappa,Flower Punk,19,2014-11-21T20:00:06Z,1968-05-04,6ra4GIOgCZQZMOaUECftGN,7h8oWxaOoTeVdkAVEQkooa,17002 days 20:00:06.000000000,17002.0
2926,Daikaiju,The Trouble With Those Mothra Girls,34,2014-11-21T19:59:48Z,2005-03-08,1boMjUeqvfISOyhMtR89QC,5DS76z4SSW8MWAyl9NVqMg,3545 days 19:59:48.000000000,3545.0
2927,Hella,Brown Metal,0,2014-11-22T21:02:12Z,2002,1n861RIk6CTAWncgHR9UHg,6g9Q7QmWlhFrigl4DarLMB,4708 days 21:02:12.000000000,4708.0
2928,clipping.,intro,24,2014-11-03T21:38:21Z,2014-02-11,5HJ2kX5UTwN4Ns8fB5Rn1I,2xY5eU4o0WuZCx9JR1qBk9,265 days 21:38:21.000000000,265.0
2929,Black Milk,Everyday Was,42,2014-11-03T21:37:41Z,2014-10-28,77zgRkcehIGCAtROXkXkb3,225WLJ4RlbSMSAZnjMYEt7,6 days 21:37:41.000000000,6.0
2930,Flying Lotus,Drips//Auntie's Harp,34,2014-11-18T00:01:37Z,2010-05-03,29XOeO6KIWxGthejQqn793,7FYXvZO8Gqp8m8EKnhdhqC,1660 days 00:01:37.000000000,1660.0
2931,Death Grips,No Love,56,2014-11-18T00:09:14Z,2012,5RADpgYLOuS2ZxDq7ggYYH,5fDj1YVNR04RtQNP4iYapO,1052 days 00:09:14.000000000,1052.0
2932,Death Grips,Deep Web,41,2014-11-18T00:05:39Z,2012,5RADpgYLOuS2ZxDq7ggYYH,72D8h8sygh3d6nfp4NLwPK,1052 days 00:05:39.000000000,1052.0
2933,The Prodigy,Smack My Bitch Up,11,2014-11-20T20:21:00Z,1997-06-30,4k1ELeJKT1ISyDv8JivPpB,2lBpN5CZ3zLyVIPejUhN6Y,6352 days 20:21:00.000000000,6352.0
2934,P.O.S,Savion Glover,22,2014-11-05T03:46:02Z,2009-02-03,4sH7SLGP6BLOYDtcP6Lm47,4Hh2iwph2jkkUrFg4YVK9d,2101 days 03:46:02.000000000,2101.0
2935,Azealia Banks,Desperado,0,2014-11-20T08:12:33Z,2014-11-06,7gRhy3MIPHQo5CXYfWaw9I,6mcFTfzlvBBS2CQeqMYI2h,14 days 08:12:33.000000000,14.0
2936,Erykah Badu,Me,0,2014-11-17T04:53:44Z,2008-02-26,7IfculRW2WXyzNQ8djX8WX,1WUpeQjjx3HGfhiAX8dQhh,2456 days 04:53:44.000000000,2456.0
2937,The Foreign Exchange,Better (feat. Shana Tucker & Eric Roberson),33,2014-10-26T22:40:18Z,2013-09-24,60R4M19QBXvs0gO4IL6CpS,0hihs6rrk3eL2iRS0xzmpX,397 days 22:40:18.000000000,397.0
2938,badbadnotgood,Velvet,0,2014-10-26T21:25:08Z,,,,,
2939,Peter Erskine,Push/Pull,24,2014-10-26T21:25:33Z,2002,3Bm6MhzPUczH3Pej2FNqGi,78dkRmhL45kRtZ970NtsXY,4681 days 21:25:33.000000000,4681.0
2940,Feist,My Moon My Man,43,2014-11-24T16:44:25Z,2007-01-01,6CWTBjOJK75cTE8Xv8u1kj,5FFQbvn7055P1DvgJDdCBP,2884 days 16:44:25.000000000,2884.0
2941,Yusuf / Cat Stevens,Morning Has Broken,69,2014-11-17T04:52:42Z,1971-01-01,08F3Y3SctIlsOEmKd6dnH8,3BqqF8suAIzW8655yJfcvh,16026 days 04:52:42.000000000,16026.0
2942,Bob Dylan,Masters of War,54,2014-11-21T19:59:10Z,1963-05-27,74ASZWbe4lXaubB36ztrGX,7xVpkVkd1klTzLJEysIR7z,18806 days 19:59:10.000000000,18806.0
2943,The Flaming Lips,Free Radicals,34,2014-11-23T22:23:36Z,2006-04-03,16eRpMNXSQ15wuJoeqguaB,04nOwWktrlIrqalCY3QH0L,3156 days 22:23:36.000000000,3156.0
2944,Art Zoyd,Tat d'urgence,1,2014-10-26T21:24:59Z,1987,3UGoJfjsENJ0x9rVckIuOg,2Rk1Dy1s7rGWU2K8HgN1g0,10160 days 21:24:59.000000000,10160.0
2945,Estrella Morente,Peregrinitos (Bulería),23,2014-11-15T00:43:13Z,2001,5gKJbL392PiokTPUoL7N6D,7AxOuYSdXI9z2fHrOiKGPO,5066 days 00:43:13.000000000,5066.0
2946,Astor Piazzolla,Las Cuatro Estaciones Porteñas / Otoño Porteño,13,2014-11-18T20:52:01Z,2011-08-30,7dsugSamBB7enWE2IrlbFg,2NnGjJwTIv3LpI3HBDpYK7,1176 days 20:52:01.000000000,1176.0
2947,Koop,Waltz for Koop,0,2014-10-27T23:20:32Z,2003,7wyBxBXLVLaiF2jxHCpvTe,1X6fhUVwt7tzy7VPScVubq,4317 days 23:20:32.000000000,4317.0
2948,Easy Access Orchestra,I'll take you there,0,2014-10-26T21:25:39Z,,,,,
2949,The Beatles,Happiness Is A Warm Gun,0,2014-11-20T20:21:38Z,,,,,
2950,Chris Isaak,Wicked Game,71,2014-10-26T21:24:50Z,2006,7290H8m1Dwt8G7jm1y9CQx,390AWnOn2rfe9FzQjYmxIH,3220 days 21:24:50.000000000,3220.0
2951,The Drifters,This Magic Moment,49,2014-10-26T21:24:44Z,2005-02-08,1FqqOl9itIUpXr4jZPIVoT,7pOWWGpUc3T05IXfymgIP3,3547 days 21:24:44.000000000,3547.0
2952,Thantifaxath,The Bright White Nothing at the End of the Tunnel,16,2014-10-26T21:24:32Z,2014-04-15,7DcSKG8ruWMgHsUh1rqZFh,3qoJVTrfwkYGMXbJXn6Ch4,194 days 21:24:32.000000000,194.0
2953,clipping.,Intro,34,2014-10-03T20:54:28Z,2014-06-10,5HJ2kX5UTwN4Ns8fB5Rn1I,6vJJEVitPSF6gahvqF3NKe,115 days 20:54:28.000000000,115.0
2954,BADBADNOTGOOD,Triangle,0,2014-10-14T21:52:34Z,2014-05-06,65dGLGjkw3UbddUg2GKQoZ,1CpAjE2XuJzPSIBHUJL0v4,161 days 21:52:34.000000000,161.0
2955,Black Milk,Sonny Jr. (Dreams) [feat. Robert Glasper & Dwele],0,2014-11-05T00:13:47Z,2013-10-15,77zgRkcehIGCAtROXkXkb3,5XjXcf2hmxLC7zD01HVuei,386 days 00:13:47.000000000,386.0
2956,Flying Lotus,Turkey Dog Coma,35,2014-10-05T02:17:29Z,2014-10-06,29XOeO6KIWxGthejQqn793,4Jsc7ZId1CLkwvOURAh859,0 days 00:00:00.000000000,0.0
2957,Kendrick Lamar,Rigamortus,24,2014-10-05T22:40:15Z,2011-07-02,2YZyLoL8N0Wb9xBt1NhZWg,2b3KgzISdjZVNPJJ1945nw,1191 days 22:40:15.000000000,1191.0
2958,Roscoe Mitchell,Frenzy House,1,2014-10-03T20:42:43Z,2014-04-22,6DR6ugRdVaVi7lyqooqJov,6MCuEGjm2pHREwL8W7Aeec,164 days 20:42:43.000000000,164.0
2959,Flying Lotus,Tesla,37,2014-10-03T21:45:26Z,2014-10-06,29XOeO6KIWxGthejQqn793,5OxaW0vXDcmPKLOCLRKneT,0 days 00:00:00.000000000,0.0
2960,Ali Mohammed Birra,Kan ati fettun isani infedhani,11,2014-10-03T20:43:22Z,1975,1EfXYEX4mRIXi0yegqviAF,48pZkMWLhYzE7d5fMJ9X0t,14520 days 20:43:22.000000000,14520.0
2961,Blind Willie Johnson,"Dark Was the Night, Cold Was the Ground",47,2014-10-03T20:42:43Z,1928,5kO4xdEKLuHHHPreu3UmkZ,2P9nh9pTK96dE0b6NBbTSs,31687 days 20:42:43.000000000,31687.0
2962,Damien Rice,Volcano,49,2014-10-04T01:47:25Z,2003-06-03,14r9dR01KeBLFfylVSKCZQ,3AkxSspcYOvhWTkaMvqyaD,4141 days 01:47:25.000000000,4141.0
2963,Scrape,Before the Music Begins,0,2014-10-04T19:42:35Z,2013-11-19,5NZbf4buZEncuzouWfAOlB,3CGDfGhcgyZ6mRylIVlN36,319 days 19:42:35.000000000,319.0
2964,Dilated Peoples,Worst Comes To Worst - Edited,56,2014-10-03T20:42:50Z,2001-10-23,56OMwqr8qaLIRH4ZrvvdXq,7aSnPAggMMgElb6BgXeSEw,4728 days 20:42:50.000000000,4728.0
2965,Karriem Riggins,J Dilla The Greatest,0,2014-10-03T20:42:43Z,2012-10-23,6e7BQ0gM6o8ecMXRZkXxlZ,5TBDAyPqnGpQtECPvv6zXf,710 days 20:42:43.000000000,710.0
2966,D'Angelo,When We Get By,1,2014-10-05T02:21:45Z,1995-07-03,336vr2M3Va0FjyvB55lJEd,3ywXd57iSPA37YT0BtmP3u,7034 days 02:21:45.000000000,7034.0
2967,Machinedrum,Only 1 Way 2 Know,0,2014-10-03T20:43:25Z,2014-09-22,06xa1OLBsMQJFXcl2tQkH4,1kjbFslGsRih8ppXxRv8ai,11 days 20:43:25.000000000,11.0
2968,idesia,Nu,0,2014-10-03T20:43:13Z,,,,,
2969,Flying Lotus,Ready err Not,33,2014-10-03T21:45:21Z,2014-10-06,29XOeO6KIWxGthejQqn793,4Bh15PbohDVAdyCzCtMkLL,0 days 00:00:00.000000000,0.0
