,Primary Artist,Track Name,Popularity,Added At,Release Date,Artist ID,Track ID,Playlist Date - Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
920,KNOWER,Paying The Price Now (feat. Tim Lefebvre),18,2016-06-02T19:07:04Z,2011-11-28,7fVp0A6oCMfiQJihMnY0SZ,6cA87nJJZsZgzg7CFxRc23,1648 days 19:07:04.000000000,1648.0,48960,['la pop'],43
921,KNOWER,What Did I Do To You (feat. John Escreet & Aya Toyoshima),17,2016-06-02T19:13:59Z,2011-11-28,7fVp0A6oCMfiQJihMnY0SZ,71sBxpTxQfGAcCfUyLFPti,1648 days 19:13:59.000000000,1648.0,48960,['la pop'],43
922,KNOWER,Something More,20,2016-02-04T01:40:52Z,2013-04-29,7fVp0A6oCMfiQJihMnY0SZ,30DlhZ982J4ONXhNYoXqTz,1011 days 01:40:52.000000000,1011.0,48960,['la pop'],43
923,KNOWER,Lose My Mind,25,2016-02-05T22:41:39Z,2016-02-05,7fVp0A6oCMfiQJihMnY0SZ,01ANRIM5xadzvgMqVhoC9b,0 days 22:41:39.000000000,0.0,48960,['la pop'],43
924,KNOWER,Pizza,27,2016-02-05T22:42:05Z,2016-02-05,7fVp0A6oCMfiQJihMnY0SZ,4JwYGZ6bRh19I7fQjh5e8p,0 days 22:42:05.000000000,0.0,48960,['la pop'],43
925,KNOWER,Overtime,42,2016-06-06T02:00:09Z,2016-02-05,7fVp0A6oCMfiQJihMnY0SZ,2CVWc2gNM8YCTMdFXJI8Wg,122 days 02:00:09.000000000,122.0,48960,['la pop'],43
926,KNOWER,I Remember,19,2016-01-26T06:19:43Z,2011-11-28,7fVp0A6oCMfiQJihMnY0SZ,4UeXQ4744h3qum15iz3NpA,1520 days 06:19:43.000000000,1520.0,48960,['la pop'],43
927,KNOWER,Window Shop,33,2016-01-28T18:47:11Z,2010-10-01,7fVp0A6oCMfiQJihMnY0SZ,0Obvb0dyqdOPyjWJJKMniU,1945 days 18:47:11.000000000,1945.0,48960,['la pop'],43
928,KNOWER,I Must Be Dreaming,27,2015-09-27T16:12:44Z,2014-07-01,7fVp0A6oCMfiQJihMnY0SZ,3J009pr9WTZNSA1UkURl33,453 days 16:12:44.000000000,453.0,48960,['la pop'],43
929,KNOWER,What's in Your Heart,25,2014-08-08T07:13:10Z,2013-04-29,7fVp0A6oCMfiQJihMnY0SZ,0pLT0IT7xKaNlY4HvrWCx7,466 days 07:13:10.000000000,466.0,48960,['la pop'],43
930,Francis Bebey,New Track,32,2019-01-28T07:35:16Z,2012-03-01,0mdmrbu5UZ32uRcRp2z6mr,5Cp6a1h2VnuOtsh1Nqxfv6,2524 days 07:35:16.000000000,2524.0,22940,"['afrobeat', 'afropop', 'mande pop', 'world']",43
931,Julia Kent,Imbalance,0,2019-01-29T22:18:43Z,2019-01-25,2YJXo1ERQAO7r4hQtu2vFc,4ejHMk7FONaVEnnbH3sHT9,4 days 22:18:43.000000000,4.0,15870,"['bow pop', 'cello', 'compositional ambient', 'neo-classical']",42
932,Sam Gendel,Less But Better,9,2019-01-29T22:14:18Z,2017-11-17,3luuQQRuSBuDNnrkYvatnk,1K0ZSMg5stWdY2wQHPyL9E,438 days 22:14:18.000000000,438.0,4557,[],38
933,Sam Gendel,THEEM AND VARIATIONS,26,2018-07-02T20:12:16Z,2018-06-15,3luuQQRuSBuDNnrkYvatnk,7K8TZQifjAJcH3x6tNqBV9,17 days 20:12:16.000000000,17.0,4557,[],38
934,Bïa,Tão sentimental,12,2019-01-28T07:36:22Z,2006-04-01,5wd2VuNxYv2rZ3z6qY0Wvx,5rhV7IEkip6c3gCr2efF54,4685 days 07:36:22.000000000,4685.0,4801,[],35
935,Daby Touré,Banta,15,2019-01-28T07:35:47Z,2007,6rbNtMkifOcNCq5aBa6L2O,3KSiWnZyO62F1nB8fFB3ky,4410 days 07:35:47.000000000,4410.0,3830,"['afropop', 'mande pop', 'world']",29
936,Scott Wendholt,Green Chimneys,1,2019-01-29T22:26:09Z,2014-01-01,1kA2mC9dJZrBh23SpyIG6Q,4dDVZlqaN7lZS0RHyzoaDB,1854 days 22:26:09.000000000,1854.0,225,[],9
937,WITCH,Chifundo,42,2019-01-28T07:34:30Z,2011-05-22,0LMkPoi2xIgpOPUSJMftqM,0pVBl16xToC2aKGKCT6TBS,2808 days 07:34:30.000000000,2808.0,13460,"['afro psych', 'neo-psychedelic', 'sludge metal', 'stoner metal', 'stoner rock', 'zambian pop']",41
938,Sorry,Showgirl,36,2019-01-28T07:36:45Z,2018-05-16,5eUda4BaWhUQWWJiP1ml5v,6vYaqjZVG1yqgPvURLdeXy,257 days 07:36:45.000000000,257.0,10320,"['english indie rock', 'uk post-punk revival']",43
939,Hypnotic Brass Ensemble,Flipside,0,2019-01-28T07:37:05Z,2013-11-17,4wvPcMJk7L9Rbw9Qh4kBeH,577H41VmKQaCD91UHgVuZ5,1898 days 07:37:05.000000000,1898.0,48456,"['brass band', 'second line', 'street band']",46
940,Mou Brasil,Dorival,31,2019-01-29T22:31:58Z,2013-03-01,57Y6o4sDBaOkiz5rJfLjss,1TPuCR1ISUMz9Hz9eAqxji,2160 days 22:31:58.000000000,2160.0,316,['brazilian modern jazz'],18
941,Noname,Song 31,14,2019-01-01T14:19:19Z,2019-01-01,1EpyA68dKpjf7jXmQL88Hy,5jEHZAJlxIf6bK9LkKnRH0,0 days 14:19:19.000000000,0.0,376971,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'pop rap', 'rap']",66
942,Noname,Part Of Me,7,2018-09-18T02:18:54Z,2018-09-14,1EpyA68dKpjf7jXmQL88Hy,3XSHyuem7nf5GQzeScCu8S,4 days 02:18:54.000000000,4.0,376971,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'pop rap', 'rap']",66
943,Ichon,Ambre,8,2019-01-22T03:30:33Z,2017-12-08,5MJkroCz5vy8h3LeDsN1vu,5F7elZFBB9H9WCrJsPPsa4,410 days 03:30:33.000000000,410.0,17657,['french hip hop'],43
