,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
847,847,4qsJVo9DrBRnCzp3itrjdg,Miss Ko,2013-10-07T19:59:50Z,2012-08-08,425.0,14819,"['chinese hip hop', 'taiwan hip hop']",38,2019-02-01,25.225806451612904
848,848,4qstV1aoIFSc0eP8imUZQA,Kimyan Law,2019-02-04T05:00:04Z,2014-11-10,1547.0,5160,[],36,2016-11-01,0.0
849,849,4rZJKub3qA5t1yYcT3qmm4,De Staat,2017-08-31T18:49:50Z,2016-01-15,594.0,53415,"['dutch indie', 'dutch rock']",51,2018-07-01,41.0
850,850,4rjlerN21ygkIhmUv55irs,The Jesus and Mary Chain,2016-12-12T20:54:23Z,2016-12-09,3.0,252242,"['alternative rock', 'art rock', 'dance rock', 'dream pop', 'garage rock', 'indie rock', 'lo-fi', 'new wave', 'noise pop', 'nu gaze', 'post-punk', 'punk', 'rock', 'scottish indie', 'shoegaze', 'uk post-punk']",58,2017-03-01,53.35483870967742
851,851,4sIafgKDXEcNYhttAcg9R3,Bing Ji Ling,2015-01-01T19:42:48Z,2014-09-09,114.0,1072,[],34,2016-08-01,32.12903225806452
852,852,4sfL701NAogwKc7mBMWNsy,The Breathing Effect,2017-07-11T20:47:57Z,2015-04-21,62.0,5812,[],28,2013-02-01,7.806451612903226
853,853,4skJp5OKvcc9eKokiuhi2s,Pond,2015-07-08T16:48:10Z,2015-01-23,166.0,189469,"['indie rock', 'indietronica', 'neo-psychedelic']",59,2012-09-01,68.74193548387096
854,854,4tKUoNubW02udXOh7SLtXV,Alpine,2017-05-20T00:51:07Z,2013-05-21,1460.0,66258,['australian indie'],43,2019-07-01,55.225806451612904
855,855,4tPyCwWrsvZ8OKYl7QRavL,Yumi Zouma,2016-09-03T00:02:48Z,2016-05-27,99.0,63310,"['chillwave', 'christchurch indie', 'electropop', 'indie pop', 'indie poptimism', 'indie soul', 'indietronica', 'nz pop', 'shimmer pop', 'vapor soul']",55,2016-05-01,51.2
856,856,4td6MWXdOpg7Cnfrus0klp,Cookies,2017-10-04T23:34:20Z,2014-09-09,1121.0,2968,['brooklyn indie'],23,2013-12-01,58.87096774193548
857,857,4u3JZVJYDq2F3KgnUFw9dp,Abstract Orchestra,2018-03-12T22:29:50Z,2017-06-30,117.0,13467,"['alternative hip hop', 'indie jazz']",44,2018-11-01,21.225806451612904
858,858,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,2019-03-28T21:51:41Z,2019-03-22,6.0,371487,"['art pop', 'baroque pop', 'chamber pop', 'chicago indie', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'melancholia', 'new americana', 'singer-songwriter', 'stomp and holler']",64,2012-03-01,17.387096774193548
859,859,4vPE7pt5RgtB8cqDqQHhMK,James Brandon Lewis,2015-07-08T16:48:10Z,2014-02-04,519.0,1595,[],21,2014-07-01,71.61290322580645
